KillDeathRatio,HeadshotKillRatio,WinRatio,Top10Ratio
0.77,0.13,0.57,14.9
1.2,0.17,2.24,13.4
1.08,0.13,3.19,11.7
0.85,0.31,0.72,10.1
1.31,0.19,0.0,4.7
1.15,0.27,2.08,11.8
1.63,0.21,0.29,5.3
0.79,0.21,1.29,34.8
1.35,0.17,1.38,11.0
1.74,0.26,1.14,11.4
0.92,0.14,0.93,12.1
1.12,0.22,0.0,14.6
1.26,0.17,1.49,14.2
2.72,0.34,10.0,17.8
1.9,0.28,3.97,18.5
1.07,0.26,0.0,13.1
1.16,0.15,0.81,14.6
1.13,0.24,1.85,12.0
1.07,0.1,1.94,12.6
0.79,0.14,0.7,6.3
1.25,0.15,0.0,10.8
1.95,0.27,1.9,10.5
1.06,0.2,1.57,16.8
1.15,0.37,0.98,17.6
2.27,0.19,6.2,20.2
2.81,0.21,13.99,46.9
1.71,0.23,4.0,24.0
2.8,0.23,2.3,6.9
0.87,0.17,0.0,14.9
0.94,0.09,0.51,6.1
2.06,0.23,1.99,7.9
1.27,0.22,3.75,17.5
0.82,0.36,0.0,10.6
1.12,0.19,3.64,13.6
2.28,0.18,4.97,25.4
0.92,0.18,1.09,18.5
0.92,0.1,0.65,10.3
1.32,0.16,0.0,6.8
0.99,0.21,0.81,5.2
3.12,0.28,11.49,42.6
0.68,0.19,0.0,11.1
1.31,0.17,0.68,12.8
0.69,0.16,1.16,8.1
1.81,0.22,4.03,11.3
1.05,0.19,0.95,8.6
0.87,0.12,0.0,3.9
1.24,0.23,0.65,8.5
0.78,0.14,0.0,6.4
1.22,0.18,2.5,5.0
0.95,0.17,1.38,10.1
1.02,0.17,1.63,14.1
1.43,0.25,1.43,17.1
1.28,0.18,2.68,21.8
0.69,0.23,0.0,12.8
0.52,0.15,0.0,13.2
1.25,0.14,1.2,13.5
1.24,0.23,1.65,14.9
1.49,0.22,2.6,18.8
0.98,0.2,1.24,7.5
0.92,0.23,3.55,26.4
0.97,0.28,2.68,17.4
1.54,0.26,4.29,10.0
1.43,0.3,2.27,6.8
1.26,0.28,1.57,7.1
0.88,0.12,0.0,22.6
0.68,0.15,2.5,32.5
0.79,0.21,0.0,10.6
0.87,0.23,0.0,7.0
1.16,0.18,1.12,10.1
2.46,0.26,7.76,27.6
1.99,0.33,4.3,16.1
1.05,0.46,1.27,11.0
1.23,0.21,0.0,13.9
1.44,0.21,4.39,11.4
1.71,0.17,1.29,15.5
2.18,0.13,9.82,31.2
1.04,0.24,1.21,11.5
2.82,0.33,13.45,27.7
1.8,0.23,4.84,21.1
1.43,0.3,2.27,9.1
1.01,0.16,3.66,14.6
1.33,0.23,1.87,16.4
1.3,0.17,2.47,14.8
0.77,0.12,0.0,1.0
1.61,0.17,1.28,9.6
2.04,0.24,7.34,24.8
2.1,0.22,0.94,20.8
0.89,0.18,1.03,7.9
1.39,0.17,0.96,7.0
1.26,0.13,1.94,10.0
0.94,0.13,0.93,9.3
2.41,0.17,6.76,28.4
1.5,0.15,2.5,20.8
0.57,0.14,0.8,12.9
1.11,0.21,1.22,7.8
0.98,0.2,2.9,14.5
1.25,0.18,3.33,10.0
1.88,0.24,1.99,8.8
1.68,0.3,0.0,13.1
1.46,0.16,1.23,13.6
0.96,0.16,1.83,5.5
1.99,0.25,6.19,16.5
0.89,0.29,2.29,12.0
1.3,0.26,2.63,19.3
2.12,0.26,5.0,18.0
1.01,0.16,0.44,8.7
1.54,0.29,1.36,8.2
1.25,0.14,1.75,11.1
1.25,0.3,2.15,14.0
2.53,0.23,7.26,29.0
1.12,0.19,3.16,14.7
1.79,0.2,0.47,9.9
1.13,0.19,3.07,17.2
3.71,0.35,8.84,25.9
0.54,0.13,0.0,11.1
1.94,0.2,6.6,27.4
1.2,0.19,1.33,18.7
1.21,0.1,0.38,5.7
0.79,0.2,0.45,11.6
1.47,0.15,2.97,16.8
0.93,0.18,0.59,8.3
0.92,0.22,0.0,5.4
1.12,0.18,1.71,15.4
2.95,0.26,6.15,20.0
2.7,0.3,6.06,8.3
0.95,0.19,0.0,14.8
2.02,0.25,2.59,14.2
1.06,0.34,0.7,7.0
1.35,0.23,2.84,30.5
1.01,0.18,2.23,11.2
1.12,0.17,3.38,16.4
0.69,0.15,0.0,10.1
1.38,0.15,2.16,19.4
1.19,0.19,2.0,12.0
1.2,0.12,0.0,15.2
1.93,0.23,4.85,18.3
0.82,0.18,1.37,9.6
0.87,0.2,0.0,5.0
1.35,0.23,3.92,16.7
1.06,0.28,0.41,6.5
0.6,0.11,0.0,11.2
1.24,0.18,2.22,12.6
1.33,0.17,1.34,13.4
1.03,0.19,3.33,18.3
1.18,0.22,2.49,13.4
0.83,0.21,0.0,7.5
2.02,0.18,4.3,25.8
0.89,0.25,0.0,4.2
1.74,0.21,2.68,20.5
1.77,0.18,4.62,17.9
0.95,0.41,1.06,17.0
0.95,0.16,3.85,13.5
1.41,0.24,0.0,12.2
0.71,0.09,3.66,17.1
1.63,0.18,1.98,11.9
0.73,0.18,0.0,10.8
0.83,0.13,2.06,9.8
1.19,0.21,0.0,6.3
1.1,0.2,2.87,10.0
1.08,0.26,1.02,8.2
1.28,0.18,2.08,14.0
1.13,0.2,1.2,14.5
1.33,0.19,1.72,8.6
0.49,0.11,0.0,10.0
1.06,0.29,1.91,7.2
0.4,0.16,0.3,16.1
1.48,0.2,1.5,19.9
1.97,0.27,3.94,16.5
1.4,0.25,5.83,19.4
1.22,0.29,3.36,15.1
0.95,0.19,0.0,11.8
0.49,0.2,0.0,5.5
0.69,0.12,2.27,13.6
1.31,0.19,2.02,14.1
1.14,0.15,1.38,13.8
1.36,0.24,6.19,33.6
0.95,0.29,0.42,15.5
0.67,0.24,0.0,7.6
1.09,0.26,1.2,9.6
1.03,0.21,1.94,11.2
0.82,0.22,0.0,6.7
1.21,0.21,2.01,16.1
1.61,0.27,3.77,17.0
0.78,0.18,0.0,9.8
1.11,0.2,1.25,13.8
1.88,0.25,2.06,14.4
0.73,0.17,1.04,10.4
1.77,0.15,1.22,20.7
0.5,0.43,1.18,14.1
2.13,0.17,6.12,23.5
1.53,0.26,4.39,16.7
1.61,0.25,1.06,7.4
1.54,0.18,2.26,10.2
1.84,0.22,3.98,18.0
1.36,0.17,0.93,10.3
1.54,0.24,1.94,12.6
1.11,0.16,0.62,13.8
0.54,0.18,0.0,11.1
1.87,0.15,3.7,18.2
1.15,0.19,2.04,17.7
1.1,0.24,2.59,17.2
0.54,0.21,0.0,7.2
1.37,0.28,1.8,11.7
0.84,0.22,0.36,4.9
1.19,0.15,0.96,8.7
0.75,0.12,0.86,8.9
0.85,0.2,0.47,9.3
1.48,0.2,4.08,14.3
0.86,0.24,1.7,9.7
0.98,0.19,0.0,3.4
0.96,0.23,2.02,15.2
2.34,0.26,12.05,30.1
0.66,0.2,0.32,13.6
1.09,0.12,1.15,8.0
0.95,0.17,2.1,7.0
1.35,0.16,1.06,10.6
2.86,0.25,7.25,18.1
0.85,0.13,0.0,8.1
3.37,0.32,10.2,25.3
0.96,0.17,0.74,3.7
1.53,0.22,2.0,13.0
2.52,0.22,7.08,12.4
1.99,0.16,4.91,22.6
0.58,0.33,1.32,18.5
0.44,0.12,0.0,10.0
1.01,0.22,0.28,6.2
1.7,0.27,0.76,6.1
0.68,0.2,0.9,7.7
2.35,0.31,9.52,23.0
2.96,0.19,13.54,39.6
1.86,0.19,1.87,15.0
1.18,0.28,2.9,13.5
1.29,0.16,3.17,14.0
2.16,0.21,4.17,15.3
1.08,0.13,1.37,6.4
1.75,0.28,5.15,16.5
1.33,0.21,1.2,8.4
3.69,0.25,12.43,29.0
1.23,0.2,3.33,20.0
0.86,0.2,0.0,9.4
0.87,0.14,0.0,13.4
0.72,0.22,1.12,12.4
1.17,0.15,1.68,11.8
0.94,0.25,1.81,10.9
0.51,0.11,0.0,6.4
1.46,0.17,4.09,36.8
0.91,0.07,3.03,17.2
1.77,0.23,2.16,23.3
1.1,0.25,0.0,14.8
0.81,0.28,0.45,9.0
1.45,0.19,1.19,6.0
1.32,0.22,2.78,11.1
2.31,0.33,8.44,24.7
1.08,0.3,1.61,8.1
0.93,0.14,0.0,4.3
1.75,0.19,5.0,31.2
1.03,0.11,0.68,12.8
0.93,0.21,0.97,11.4
0.94,0.32,1.27,10.1
0.95,0.27,0.68,9.5
1.38,0.31,1.18,9.4
1.69,0.16,3.49,29.2
0.77,0.2,0.61,16.4
0.87,0.21,1.14,11.4
1.19,0.23,5.88,16.5
1.09,0.34,2.06,22.2
0.86,0.27,0.7,8.7
1.04,0.19,1.82,22.7
0.93,0.24,0.9,6.3
1.05,0.18,0.0,7.0
0.75,0.23,0.0,13.7
